City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,beaudesert,-27.9833,152.9833,19.49,58,92,0.8,AU,1718866208
1,mammoth lakes,37.6485,-118.9721,10.75,41,0,3.6,US,1718866208
2,stanley,54.868,-1.6985,13.77,79,0,4.63,GB,1718866132
3,raduzhny,62.0961,77.475,13.16,32,0,1.12,RU,1718866209
4,novouzensk,50.4592,48.1431,26.94,43,51,3.99,RU,1718866209
5,hermanus,-34.4187,19.2345,7.67,76,8,4.16,ZA,1718866209
6,newman,37.3138,-121.0208,21.13,49,0,0.45,US,1718866210
7,constantia,44.1833,28.65,29.38,53,6,4.26,RO,1718866210
8,wailua homesteads,22.0669,-159.378,26.24,87,100,9.77,US,1718866210
9,adamstown,-25.066,-130.1015,21.53,75,0,11.75,PN,1718866211
10,touros,-5.1989,-35.4608,23.27,91,21,4.56,BR,1718866211
11,ushuaia,-54.8,-68.3,-0.19,80,40,7.2,AR,1718866211
12,port-aux-francais,-49.35,70.2167,5.91,97,100,15.66,TF,1718866212
13,iqaluit,63.7506,-68.5145,1.85,93,100,2.06,CA,1718866212
14,waitangi,-43.9535,-176.5597,8.23,74,97,8.18,NZ,1718866212
15,kolobrzeg,54.1757,15.5834,16.09,64,15,6.53,PL,1718866213
16,mezokovesd,47.8167,20.5833,25.23,66,11,6.34,HU,1718866213
17,blackmans bay,-43.0167,147.3167,8.74,92,100,3.43,AU,1718866213
18,carnarvon,-24.8667,113.6333,22.36,41,0,6.44,AU,1718866214
19,celestun,20.8667,-90.4,25.4,90,100,7.0,MX,1718866214
20,albany,42.6001,-73.9662,23.29,93,100,1.14,US,1718865979
21,ancud,-41.8697,-73.8203,6.05,85,100,8.79,CL,1718866214
22,yellowknife,62.456,-114.3525,13.29,50,75,2.57,CA,1718866215
23,serdar,38.9764,56.2757,34.76,31,6,7.69,TM,1718866215
24,snowflake,34.5134,-110.0785,19.86,31,0,3.15,US,1718866215
25,olonkinbyen,70.9221,-8.7187,-0.03,98,100,10.57,SJ,1718866216
26,avarua,-21.2078,-159.775,20.03,94,20,0.51,CK,1718866216
27,polyarnyy,69.1989,33.4478,15.78,70,45,6.12,RU,1718866216
28,ribeira grande,38.5167,-28.7,18.22,77,75,2.57,PT,1718866217
29,longyearbyen,78.2186,15.6401,4.91,81,75,5.14,SJ,1718866217
30,whitehorse,60.7161,-135.0538,19.43,26,20,0.0,CA,1718866218
31,qarazhal,48.0078,70.7903,29.75,19,4,2.96,KZ,1718866218
32,west island,-12.1568,96.8225,29.99,74,75,7.2,CC,1718866219
33,kodiak,57.79,-152.4072,7.73,93,100,3.09,US,1718866219
34,lihue,21.9789,-159.3672,26.58,83,100,9.77,US,1718866220
35,tiksi,71.6872,128.8694,4.92,80,100,2.15,RU,1718866220
36,port elizabeth,-33.918,25.5701,15.17,78,0,1.54,ZA,1718866221
37,bolobo,-2.1667,16.2333,27.33,49,100,1.48,CD,1718866221
38,nabire,-3.3667,135.4833,28.0,83,97,0.85,ID,1718866152
39,mount pearl,47.5166,-52.7813,18.19,93,75,10.29,CA,1718866222
40,lompoc,34.6391,-120.4579,12.1,85,100,6.71,US,1718866222
41,edinburgh of the seven seas,-37.0676,-12.3116,13.08,74,100,9.01,SH,1718866222
42,inari,68.906,27.0288,9.42,95,100,3.4,FI,1718866223
43,udachny,66.4167,112.4,16.19,69,100,6.21,RU,1718866223
44,glendive,47.1053,-104.7125,14.79,72,0,3.6,US,1718866224
45,fort st. john,56.2499,-120.8529,14.94,58,40,2.57,CA,1718866180
46,christchurch,-43.5333,172.6333,11.06,84,100,6.69,NZ,1718866029
47,puerto natales,-51.7236,-72.4875,-7.73,95,31,1.41,CL,1718866225
48,papatowai,-46.5619,169.4708,6.72,91,57,3.25,NZ,1718866225
49,coishco,-9.0231,-78.6156,17.11,88,98,3.19,PE,1718866225
50,arraial do cabo,-22.9661,-42.0278,21.79,71,0,2.19,BR,1718866225
51,lask,51.5906,19.1328,17.29,77,3,0.89,PL,1718866226
52,luderitz,-26.6481,15.1594,16.31,38,56,2.68,NA,1718866226
53,grytviken,-54.2811,-36.5092,-3.49,77,57,4.96,GS,1718866226
54,bilibino,68.0546,166.4372,18.17,36,6,8.76,RU,1718866227
55,anadyr,64.75,177.4833,3.28,93,75,4.0,RU,1718866227
56,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,66,40,7.0,RU,1718866227
57,palmer,42.1584,-72.3287,22.99,72,0,1.54,US,1718866016
58,bambari,5.768,20.6757,26.36,78,42,1.04,CF,1718866228
59,margaret river,-33.95,115.0667,15.08,60,16,3.69,AU,1718866228
60,acarau,-2.8856,-40.12,23.93,87,22,5.39,BR,1718866229
61,manggar,-2.8833,108.2667,28.42,77,70,5.54,ID,1718866229
62,utrik,11.2278,169.8474,28.56,79,5,7.62,MH,1718866229
63,fale old settlement,-9.3852,-171.2468,29.16,76,16,5.73,TK,1718866230
64,la passe,45.5549,-0.8967,17.77,85,51,3.81,FR,1718866230
65,alice springs,-23.7,133.8833,14.75,58,40,3.09,AU,1718866230
66,tazovsky,67.4667,78.7,1.48,87,100,4.23,RU,1718866231
67,colares,38.7992,-9.4469,17.41,83,75,9.83,PT,1718866231
68,puerto ayora,-0.7393,-90.3518,21.42,99,100,3.01,EC,1718866231
69,sao joao da barra,-21.6403,-41.0511,20.99,90,0,3.33,BR,1718866231
70,atafu village,-8.5421,-172.5159,29.46,73,10,5.94,TK,1718866232
71,isla vista,34.4133,-119.861,17.13,78,0,0.0,US,1718866232
72,tehri,30.3833,78.4833,35.77,26,61,4.2,IN,1718866232
73,jackson,42.4165,-122.8345,21.93,37,0,0.0,US,1718866127
74,koster,-25.863,26.8976,13.84,18,0,2.11,ZA,1718866233
75,valencia,39.3333,-0.8333,22.28,51,35,6.03,ES,1718866233
76,bikenibeu village,1.3673,173.1241,29.98,79,40,3.6,KI,1718866234
77,villamontes,-21.25,-63.5,17.57,85,100,0.88,BO,1718866234
78,hadibu,12.65,54.0333,30.23,71,64,10.22,YE,1718866235
79,hamilton,39.1834,-84.5333,26.33,87,0,2.57,US,1718866104
80,isafjordur,66.0755,-23.124,2.71,74,94,2.71,IS,1718866236
81,huarmey,-10.0681,-78.1522,17.53,89,95,3.24,PE,1718866236
82,paraguacu paulista,-22.4128,-50.5758,15.73,48,0,2.3,BR,1718866171
83,druskininkai,54.0167,23.9667,15.25,57,6,5.84,LT,1718866237
84,zaysan,47.4667,84.8667,23.03,26,78,3.14,KZ,1718866237
85,aripuana,-9.1667,-60.6333,21.41,66,100,0.85,BR,1718866237
86,bethel,41.3712,-73.414,21.47,84,0,0.0,US,1718866156
87,mount gambier,-37.8333,140.7667,8.57,85,100,1.26,AU,1718866238
88,san patricio,28.017,-97.5169,29.35,89,100,8.9,US,1718866238
89,gazli,40.1333,63.45,37.87,14,0,6.15,UZ,1718866239
90,la pobla de farnals,39.5778,-0.3267,24.54,59,20,5.14,ES,1718866239
91,tofol,5.3248,163.0078,28.8,75,22,4.15,FM,1718866239
92,sarangani,5.4033,125.4636,26.22,83,100,6.31,PH,1718866240
93,freshwater,50.692,-1.5079,16.07,79,5,4.85,GB,1718866240
94,vila franca do campo,37.7167,-25.4333,18.27,99,65,1.03,PT,1718866240
95,rebola,3.7167,8.8333,25.62,94,40,1.03,GQ,1718866241
96,port mathurin,-19.6833,63.4167,23.35,74,3,10.64,MU,1718866241
97,punta del este,-34.9667,-54.95,13.26,94,0,1.79,UY,1718866241
98,port alfred,-33.5906,26.891,14.49,69,0,1.82,ZA,1718866241
99,hawaiian paradise park,19.5933,-154.9731,22.73,96,100,1.54,US,1718866242
100,kalabo,-14.97,22.6814,18.17,33,0,3.03,ZM,1718866242
101,sal rei,16.1833,-22.9167,22.73,84,99,4.79,CV,1718866242
102,nelson,-41.2833,173.2833,8.6,88,100,2.79,NZ,1718866060
103,aasiaat,68.7098,-52.8699,1.48,93,58,0.29,GL,1718866243
104,st ives,50.2086,-5.4875,14.24,94,20,3.09,GB,1718866243
105,kabalo,-6.05,26.9167,27.76,36,59,3.56,CD,1718866244
106,pisco,-13.7,-76.2167,17.03,82,100,2.57,PE,1718866244
107,sogndal,61.2283,7.1003,13.21,57,75,6.17,NO,1718866244
108,lingdong,46.5669,131.1453,15.79,99,100,1.77,CN,1718866245
109,port lincoln,-34.7333,135.8667,13.96,72,18,6.16,AU,1718866245
110,alofi,-19.0595,-169.9187,22.94,88,3,0.0,NU,1718866245
111,claremont,34.0967,-117.7198,20.05,82,0,3.09,US,1718866049
112,pauini,-7.7136,-66.9764,22.3,94,21,0.03,BR,1718866246
113,kisangani,0.5167,25.2,28.63,57,44,1.2,CD,1718866246
114,east london,-33.0153,27.9116,10.52,81,0,2.06,ZA,1718866247
115,buka,40.8108,69.1986,36.83,18,1,3.66,UZ,1718866247
116,cottage grove,44.8277,-92.9438,17.35,77,0,1.54,US,1718866200
117,rio pardo de minas,-15.6097,-42.5397,12.64,97,0,1.61,BR,1718866248
118,thompson,55.7435,-97.8558,9.09,93,75,1.54,CA,1718866248
119,badger,64.8,-147.5333,20.93,54,0,1.54,US,1718866248
120,salon,26.0333,81.45,41.57,28,87,5.0,IN,1718866248
121,prince rupert,54.3161,-130.3201,12.83,91,0,6.69,CA,1718866249
122,tangier,35.7806,-5.8137,19.64,73,20,4.12,MA,1718866249
123,qarqaraly,49.4058,75.4742,23.76,28,30,3.93,KZ,1718866249
124,qaqortoq,60.7167,-46.0333,3.31,92,100,1.13,GL,1718866250
125,jamestown,42.097,-79.2353,23.77,97,0,2.57,US,1718865985
126,codrington,-38.2667,141.9667,10.6,63,100,0.78,AU,1718866250
127,jalingo,8.8833,11.3667,27.01,79,16,1.63,NG,1718866251
128,talnakh,69.4865,88.3972,5.55,63,100,3.39,RU,1718866251
129,chonchi,-42.6128,-73.8092,5.62,88,100,3.4,CL,1718866251
130,bayanhongor,46.7167,100.1167,17.3,33,100,8.43,MN,1718866252
131,vorgashor,67.5833,63.95,5.27,68,2,4.6,RU,1718866252
132,college,64.8569,-147.8028,20.97,55,75,1.54,US,1718866252
133,saudarkrokur,65.7461,-19.6394,3.8,94,100,0.69,IS,1718866253
134,fort bragg,35.139,-79.006,22.91,83,40,0.0,US,1718866253
135,laguna,38.421,-121.4238,20.3,71,0,3.6,US,1718866253
136,totoras,-32.5844,-61.1685,9.27,68,19,3.05,AR,1718866254
137,ilulissat,69.2167,-51.1,4.01,87,19,0.51,GL,1718866254
138,galle,6.0367,80.217,30.52,79,100,0.89,LK,1718866104
139,santa cruz,-17.8,-63.1667,20.7,94,75,1.54,BO,1718866021
140,urucui,-7.2294,-44.5561,20.0,53,5,1.76,BR,1718866255
141,dourbali,11.8091,15.8632,33.1,39,41,3.65,TD,1718866255
142,queenstown,-31.8976,26.8753,8.12,73,0,0.82,ZA,1718866256
143,burkburnett,34.0979,-98.5706,24.38,74,100,2.06,US,1718866095
144,fray luis beltran,-39.3167,-65.7667,4.8,55,100,4.51,AR,1718866256
145,sosnogorsk,63.6023,53.8817,20.43,56,100,1.31,RU,1718866257
146,negotin,44.2264,22.5308,31.56,38,6,1.72,RS,1718866257
147,trindade,-16.6494,-49.4889,17.86,68,0,2.01,BR,1718866257
148,north bend,43.4065,-124.2243,12.7,94,100,5.66,US,1718866258
149,punta arenas,-53.15,-70.9167,-7.94,86,0,4.63,CL,1718866258
150,hithadhoo,-0.6,73.0833,28.65,75,5,3.99,MV,1718866258
151,jaisalmer,26.9147,70.9181,39.17,26,0,8.1,IN,1718866259
152,ulsteinvik,62.3432,5.8487,13.75,77,88,10.28,NO,1718866259
153,quellon,-43.1167,-73.6167,5.42,74,100,4.8,CL,1718866260
154,crane,31.3974,-102.3501,22.14,70,99,9.49,US,1718866260
155,puerto el triunfo,13.2833,-88.55,24.37,96,100,2.25,SV,1718866260
156,ketchikan,55.3422,-131.6461,14.99,94,36,1.54,US,1718866261
157,pacific grove,36.6177,-121.9166,13.01,87,100,3.13,US,1718866261
158,asha,54.9973,57.2722,15.86,99,100,3.41,RU,1718866262
159,monrovia,6.3005,-10.7969,25.19,86,100,1.16,LR,1718866262
160,south boston,42.3334,-71.0495,25.11,68,75,4.63,US,1718866263
161,hasaki,35.7333,140.8333,27.38,78,100,7.36,JP,1718866263
162,saint-jean-de-monts,46.7833,-2.0667,16.53,88,1,1.04,FR,1718866263
163,santona,43.4439,-3.4576,19.01,80,97,1.3,ES,1718866264
164,saarijarvi,62.7049,25.254,13.3,68,90,5.41,FI,1718866264
165,alaghsas,17.0187,8.0168,30.94,30,6,1.54,NE,1718866264
166,kourou,5.1552,-52.6478,24.03,93,51,2.26,GF,1718866265
167,montepuez,-13.1256,38.9997,26.2,47,0,3.96,MZ,1718866265
168,yeniseysk,58.4497,92.1703,6.12,97,100,3.43,RU,1718866265
169,lebu,-37.6167,-73.65,11.21,91,100,12.67,CL,1718866089
170,deir ez-zor,35.3359,40.1408,41.09,7,0,0.84,SY,1718866266
171,ugoofaaru,5.6667,73.0,28.68,78,100,6.1,MV,1718866266
172,vernon,50.2581,-119.2691,15.74,51,99,4.12,CA,1718866266
173,sijunjung,-0.6876,100.9537,33.06,50,90,1.02,ID,1718866267
174,northam,51.0333,-4.2167,15.34,86,100,1.81,GB,1718866267
175,keflavik,64.0049,-22.5624,8.24,93,75,2.06,IS,1718866268
176,bu'aale,1.0833,42.5833,30.69,53,43,4.99,SO,1718866268
177,juneau,58.3019,-134.4197,16.0,67,20,2.06,US,1718866268
178,summerside,46.3959,-63.7876,21.19,100,100,6.17,CA,1718866269
179,usogorsk,63.4106,48.6872,17.65,76,100,2.89,RU,1718866269
180,gasa,31.5,34.4667,27.93,58,0,2.33,PS,1718866269
181,akureyri,65.6835,-18.0878,4.96,87,100,1.54,IS,1718866270
182,chibougamau,49.9168,-74.3659,16.79,94,100,4.12,CA,1718866270
183,binzhou,37.3667,118.0167,36.4,23,100,4.82,CN,1718866270
184,bredasdorp,-34.5322,20.0403,10.38,78,6,1.7,ZA,1718866271
185,namibe,-15.1961,12.1522,19.84,73,0,1.26,AO,1718866271
186,okhotsk,59.3833,143.3,11.55,78,49,4.41,RU,1718866271
187,nyurba,63.2842,118.3319,22.26,46,100,4.04,RU,1718866272
188,kuala terengganu,5.3302,103.1408,32.97,66,20,4.12,MY,1718866272
189,naze,28.3667,129.4833,27.51,82,100,6.09,JP,1718866272
190,invercargill,-46.4,168.35,5.57,86,100,0.45,NZ,1718866247
191,nemuro,43.3236,145.575,11.86,89,100,4.59,JP,1718866273
192,paka,4.6374,103.4368,31.96,70,20,2.57,MY,1718866274
193,sandnessjoen,66.0217,12.6316,9.29,87,75,10.29,NO,1718866274
194,breves,-1.6822,-50.4803,22.68,97,40,1.42,BR,1718866101
195,nova sintra,14.8667,-24.7167,24.47,88,100,7.94,CV,1718866275
196,feodosiya,45.0333,35.3833,28.26,46,67,2.55,UA,1718866275
197,remire-montjoly,4.9167,-52.2667,24.02,100,0,1.03,GF,1718866275
198,laojunmiao,39.8333,97.7333,22.03,27,100,6.04,CN,1718866276
199,aykhal,66.0,111.5,15.94,72,100,7.79,RU,1718866276
200,haiku-pauwela,20.9219,-156.3051,24.01,81,40,9.26,US,1718866276
201,chateau-du-loir,47.6949,0.4185,17.94,96,100,3.95,FR,1718866277
202,rudsar,37.1376,50.288,28.99,48,3,3.58,IR,1718866277
203,margate,51.3813,1.3862,14.94,81,68,2.24,GB,1718866278
204,sovetskaya gavan',48.9723,140.2878,9.01,96,100,3.0,RU,1718866102
205,yonan-up,37.9089,126.1611,28.03,50,0,3.85,KP,1718866278
206,katabu,-4.9333,122.5167,29.49,50,32,3.94,ID,1718866279
207,tangalle,6.024,80.7911,31.09,78,100,5.5,LK,1718866280
208,borba,-4.3878,-59.5939,22.75,88,36,0.7,BR,1718866280
209,kursavka,44.4564,42.5093,25.31,60,27,4.01,RU,1718866281
210,port nelson,23.6333,-74.8333,27.04,80,13,3.9,BS,1718866281
211,libreville,0.3925,9.4537,25.01,83,20,2.57,GA,1718866281
212,hotan,37.0997,79.9269,30.9,18,96,3.58,CN,1718866282
213,vilyuysk,63.7553,121.6247,21.94,38,82,4.3,RU,1718866282
214,tocopilla,-22.092,-70.1979,16.49,74,0,1.51,CL,1718866283
215,brookings,44.3114,-96.7984,16.0,93,100,4.12,US,1718866162
216,tolanaro,-25.0319,46.9987,23.04,68,20,5.14,MG,1718866284
217,saldus,56.6636,22.4881,18.03,56,8,4.91,LV,1718866284
218,acapulco de juarez,16.8634,-99.8901,24.16,88,100,3.08,MX,1718866084
219,kapa'a,22.0752,-159.319,26.99,86,100,9.77,US,1718866285
220,cabo san lucas,22.8909,-109.9124,26.45,56,0,6.71,MX,1718866285
221,kavaratti,10.5669,72.642,28.96,80,100,7.39,IN,1718866285
222,afaahiti,-17.75,-149.2833,21.93,65,87,4.96,PF,1718866286
223,kars,40.602,43.095,21.25,60,20,1.54,TR,1718866286
224,sabang,5.8933,95.3214,29.28,77,100,7.4,ID,1718866286
225,ust-nera,64.5667,143.2,22.08,43,100,0.49,RU,1718866287
226,yelizovo,53.1873,158.3805,11.08,66,40,7.0,RU,1718866287
227,taltal,-25.4,-70.4833,13.49,81,5,0.85,CL,1718866288
228,puerto baquerizo moreno,-0.9,-89.6,21.76,89,100,4.58,EC,1718866288
229,lorengau,-2.0226,147.2712,28.03,79,35,3.73,PG,1718866288
230,san miguel panixtlahuaca,16.2484,-97.3843,20.26,96,100,0.5,MX,1718866289
231,elliot lake,46.3834,-82.6331,15.59,82,99,2.23,CA,1718866289
232,nadym,65.5333,72.5167,13.17,40,38,4.38,RU,1718866289
233,beeville,28.4008,-97.7483,25.55,94,100,7.2,US,1718866290
234,saipan,15.1355,145.701,31.39,79,40,5.66,MP,1718866290
235,caorle,45.5966,12.8758,26.65,77,2,3.62,IT,1718866290
236,kuqa,41.7278,82.9364,30.97,20,0,4.88,CN,1718866291
237,nephi,39.7102,-111.8363,13.99,27,20,2.68,US,1718866291
238,pokrovsk,48.282,37.1758,29.22,38,98,5.29,UA,1718866291
239,cuito,-12.3833,16.9333,15.23,33,0,1.91,AO,1718866291
240,berdigestyakh,62.0989,126.6992,19.79,53,63,2.93,RU,1718866292
241,tura,25.5198,90.2201,30.27,77,45,3.64,IN,1718866292
242,cannonvale,-20.2833,148.7,20.88,66,0,3.31,AU,1718866293
243,karratha,-20.7377,116.8463,27.51,33,5,8.76,AU,1718866293
244,zag,46.9441,99.165,14.56,52,100,10.83,MN,1718866294
245,peace river,56.2501,-117.286,11.17,71,40,1.03,CA,1718866280
246,tongliao,43.6125,122.2653,32.21,29,75,8.6,CN,1718866294
247,waingapu,-9.6567,120.2641,28.05,56,67,7.09,ID,1718866295
248,hopelchen,19.7667,-89.85,25.11,90,100,3.09,MX,1718866295
249,daru,-9.0763,143.2092,25.23,76,100,7.67,PG,1718866295
250,nouadhibou,20.931,-17.0347,21.99,53,6,8.75,MR,1718866296
251,tamanrasset,22.785,5.5228,31.95,9,0,2.06,DZ,1718866297
252,tazacorte,28.629,-17.9293,19.54,74,40,6.17,ES,1718866297
253,taseyevo,57.2169,94.8978,15.81,41,100,6.74,RU,1718866297
254,sitka,57.0531,-135.33,11.94,76,75,1.54,US,1718866298
255,harper,4.375,-7.7169,25.02,87,100,3.68,LR,1718866298
256,pangai,-19.8,-174.35,26.06,89,75,0.0,TO,1718866298
257,rice lake,45.5061,-91.7382,15.82,86,0,2.06,US,1718866299
258,ixtapa,20.7,-105.2,23.03,92,80,0.76,MX,1718866299
259,fort frances,48.5999,-93.4003,7.87,93,0,0.0,CA,1718866299
260,liepaja,56.5419,21.0367,16.99,82,20,4.63,LV,1718866044
261,rio grande,-32.035,-52.0986,16.39,93,100,4.45,BR,1718866300
262,antonio enes,-16.2325,39.9086,26.52,62,0,3.12,MZ,1718866300
263,otawara,36.8667,140.0333,28.5,49,99,5.08,JP,1718866301
264,kayangel,8.0823,134.7173,29.19,68,96,1.37,PW,1718866301
265,la'ie,21.6477,-157.9253,26.98,79,100,2.68,US,1718866301
266,elassona,39.8947,22.1886,27.63,37,0,0.88,GR,1718866302
267,xuddur,4.1213,43.8894,28.72,51,27,9.66,SO,1718866302
268,la sarre,48.8002,-79.1996,16.37,97,100,2.56,CA,1718866185
269,fundao,-19.9341,-40.4047,20.74,93,2,1.11,BR,1718866303
270,lhokseumawe,5.1801,97.1507,30.3,68,94,3.23,ID,1718866303
271,xilin hot,43.9667,116.0333,31.53,21,100,7.0,CN,1718866303
272,lodwar,3.1191,35.5973,30.3,46,26,5.01,KE,1718866304
273,st. john's,47.5649,-52.7093,18.66,93,75,10.29,CA,1718866244
274,meulaboh,4.1363,96.1285,30.16,67,66,3.58,ID,1718866304
275,jinshi,29.6049,111.8701,29.19,78,54,2.22,CN,1718866304
276,selfoss,63.9331,-20.9971,8.36,84,100,1.61,IS,1718866305
277,susuman,62.7833,148.1667,21.63,40,63,3.26,RU,1718866306
278,tovarkovskiy,53.6822,38.2092,23.5,74,88,7.81,RU,1718866306
279,lerwick,60.1545,-1.1494,11.0,79,56,8.62,GB,1718866306
280,flying fish cove,-10.4217,105.6791,28.82,69,40,5.66,CX,1718866306
281,altamira,-3.2033,-52.2064,21.84,93,9,0.58,BR,1718866307
282,san borja,-14.8167,-66.85,21.06,98,100,1.2,BO,1718866307
283,sangueya,10.7,-14.3667,22.84,92,100,0.89,GN,1718866307
284,celanova,42.153,-7.9551,13.22,94,100,1.09,ES,1718866308
285,carutapera,-1.195,-46.02,23.67,95,27,2.54,BR,1718866308
286,new norfolk,-42.7826,147.0587,8.84,86,62,0.64,AU,1718866308
